DecimalValue,LoggerId,Time
3.89,149,"2020-12-17 18:45:00.000000"
3.74,165,"2020-12-17 18:44:54.000000"
21.37,112,"2020-12-17 18:44:58.000000"
21.28,154,"2020-12-17 18:44:55.000000"
21.38,158,"2020-12-17 18:44:52.000000"
21.44,161,"2020-12-17 18:44:17.000000"
4.41,110,"2020-12-17 18:44:50.000000"
21.28,130,"2020-12-17 18:44:58.000000"
21.40,180,"2020-12-17 18:44:58.000000"
21.30,154,"2020-12-17 18:45:22.000000"
21.44,161,"2020-12-17 18:45:08.000000"
21.27,181,"2020-12-17 18:45:23.000000"
3.63,206,"2020-12-17 18:45:17.000000"
3.89,149,"2020-12-17 18:45:27.000000"
3.75,165,"2020-12-17 18:45:24.000000"
21.28,130,"2020-12-17 18:45:28.000000"
21.37,112,"2020-12-17 18:45:28.000000"
4.43,110,"2020-12-17 18:45:29.000000"
21.42,180,"2020-12-17 18:45:25.000000"
21.38,158,"2020-12-17 18:45:28.000000"
21.28,154,"2020-12-17 18:47:28.000000"
21.42,161,"2020-12-17 18:47:29.000000"
21.25,181,"2020-12-17 18:46:53.000000"
3.72,206,"2020-12-17 18:47:24.000000"
3.92,149,"2020-12-17 18:47:18.000000"
3.76,165,"2020-12-17 18:47:27.000000"
21.28,130,"2020-12-17 18:47:25.000000"
21.36,112,"2020-12-17 18:47:25.000000"
4.46,110,"2020-12-17 18:47:29.000000"
21.39,180,"2020-12-17 18:47:25.000000"
21.37,158,"2020-12-17 18:47:28.000000"
21.28,154,"2020-12-17 18:49:29.000000"
21.43,161,"2020-12-17 18:49:26.000000"
21.23,181,"2020-12-17 18:48:57.000000"
3.64,206,"2020-12-17 18:49:27.000000"
3.95,149,"2020-12-17 18:49:21.000000"
3.75,165,"2020-12-17 18:49:28.000000"
21.28,130,"2020-12-17 18:49:28.000000"
21.35,112,"2020-12-17 18:49:28.000000"
4.44,110,"2020-12-17 18:49:17.000000"
21.42,180,"2020-12-17 18:49:29.000000"
21.37,158,"2020-12-17 18:49:28.000000"
21.25,181,"2020-12-17 18:49:57.000000"
3.64,206,"2020-12-17 18:49:57.000000"
3.92,149,"2020-12-17 18:49:57.000000"
